ElectionYear,Chamber,Type,State,Source
2010,House,PrimaryVote,WA,https://results.aec.gov.au/15508/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-15508-WA.csv
2010,House,PrimaryVote,SA,https://results.aec.gov.au/15508/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-15508-SA.csv
2010,House,PrimaryVote,TAS,https://results.aec.gov.au/15508/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-15508-TAS.csv
2010,House,PrimaryVote,NT,https://results.aec.gov.au/15508/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-15508-NT.csv
2010,House,PrimaryVote,ACT,https://results.aec.gov.au/15508/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-15508-ACT.csv
2010,Senate,PrimaryVote,AUS,https://results.aec.gov.au/15508/Website/Downloads/GeneralPollingPlacesDownload-15508.csv
2010,Both,Polling Places,AUS,https://results.aec.gov.au/15508/Website/Downloads/SenateFirstPrefsByDivisionByVoteTypeDownload-15508.csv
2010,House,Turnout,AUS,https://results.aec.gov.au/15508/Website/Downloads/HouseTurnoutByDivisionDownload-15508.csv
2007,House,PrimaryVote,NSW,https://results.aec.gov.au/13745/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-13745-NSW.csv
2007,House,PrimaryVote,VIC,https://results.aec.gov.au/13745/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-13745-VIC.csv
2007,House,PrimaryVote,QLD,https://results.aec.gov.au/13745/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-13745-QLD.csv
2007,House,PrimaryVote,WA,https://results.aec.gov.au/13745/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-13745-WA.csv
2007,House,PrimaryVote,SA,https://results.aec.gov.au/13745/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-13745-SA.csv
2007,House,PrimaryVote,TAS,https://results.aec.gov.au/13745/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-13745-TAS.csv
2007,House,PrimaryVote,NT,https://results.aec.gov.au/13745/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-13745-NT.csv
2007,House,PrimaryVote,ACT,https://results.aec.gov.au/13745/Website/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-13745-ACT.csv
2007,Senate,PrimaryVote,AUS,https://results.aec.gov.au/13745/Website/Downloads/SenateFirstPrefsByDivisionByVoteTypeDownload-13745.csv
2007,Both,Polling Places,AUS,https://results.aec.gov.au/13745/Website/Downloads/GeneralPollingPlacesDownload-13745.csv
2007,House,Turnout,AUS,https://results.aec.gov.au/13745/Website/Downloads/HouseTurnoutByDivisionDownload-13745.csv
2004,House,PrimaryVote,NSW,https://results.aec.gov.au/12246/results/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-12246-NSW.csv
2004,House,PrimaryVote,VIC,https://results.aec.gov.au/12246/results/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-12246-VIC.csv
2004,House,PrimaryVote,QLD,https://results.aec.gov.au/12246/results/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-12246-QLD.csv
2004,House,PrimaryVote,WA,https://results.aec.gov.au/12246/results/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-12246-WA.csv
2004,House,PrimaryVote,SA,https://results.aec.gov.au/12246/results/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-12246-SA.csv
2004,House,PrimaryVote,TAS,https://results.aec.gov.au/12246/results/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-12246-TAS.csv
2004,House,PrimaryVote,NT,https://results.aec.gov.au/12246/results/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-12246-NT.csv
2004,House,PrimaryVote,ACT,https://results.aec.gov.au/12246/results/Downloads/HouseStateFirstPrefsByPollingPlaceDownload-12246-ACT.csv
2004,Senate,PrimaryVote,AUS,https://results.aec.gov.au/12246/results/Downloads/SenateFirstPrefsByDivisionByVoteTypeDownload-12246.csv
2004,Both,Polling Places,AUS,https://results.aec.gov.au/12246/results/Downloads/GeneralPollingPlacesDownload-12246.csv
2004,House,Turnout,AUS,https://results.aec.gov.au/12246/results/Downloads/SenateTurnoutByDivisionDownload-12246.csv
